"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"7696-12-0","9-839","(1,3-Dioxo-4,5,6,7-tetrahydroisoindolin-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"7699-43-6","1-639","Zirconium dichloride oxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7699-43-6","1-648","Zirconium dichloride oxide","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7718-54-9","1-242","Nickel dichloride","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7722-84-1","1-419","Hydrogen peroxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7778-73-6","","Potassium pentachlorophenolate","Class I specified chemical substance","O"
"7786-81-4","1-813","Sulfuric acid, nickel(2+) salt (1:1)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7791-20-0","","Nickel chloride (NiCl2), hexahydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"7803-49-8","1-375","Hydroxylamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7803-57-8","","Hydrazine monohydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"8001-35-2","","Toxaphene","Class I specified chemical substance","O"
"8001-58-9","9-1735","Coal tar creosote","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"8007-45-2","9-1741","Tar, coal","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"8013-90-9","3-2387","Ionone","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"8045-34-9","2-766","Ester of pentaerythritol and stearic acid","Priority Assessment Chemical Substances (PACSs)|","O"
"8045-34-9","2-642","Ester of pentaerythritol and stearic acid","Priority Assessment Chemical Substances (PACSs)|","O"
"8051-30-7","8-311","Reaction products of coconut oil and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"8051-30-7","7-87","Reaction products of coconut oil and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"8051-30-7","2-827","Reaction products of coconut oil and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"8051-30-7","2-814","Reaction products of coconut oil and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"8051-30-7","2-2503","Reaction products of coconut oil and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"8052-48-0","7-973","Fatty acids, tallow, sodium salts","Priority Assessment Chemical Substances (PACSs)|","O"
"8052-48-0","2-611","Fatty acids, tallow, sodium salts","Priority Assessment Chemical Substances (PACSs)|","O"
"9002-92-0","7-97","Poly(oxy-1,2-ethanediyl), .alpha.-dodecyl-.omega.-hydroxy-","Priority Assessment Chemical Substances (PACSs)|","O"
"9003-01-4","6-898","2-Propenoic acid, homopolymer","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"9003-03-6","","Polymer of ammonium acrylate","Priority Assessment Chemical Substances (PACSs)||","O"
"9003-04-7","6-901","2-Propenoic acid, homopolymer, sodium salt","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"9004-82-4","7-155","Sodium alpha-dodecan-1-yl-omega-(sulfonatooxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9004-95-9","7-97","alpha-Hexadecyl-omega-hydroxypoly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9004-98-2","7-97","alpha-Hydro-omega-{[(Z)-octadec-9-en-1-yl]oxy}poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9005-00-9","7-97","alpha-Hydro-omega-(octadecyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9005-64-5","8-55","Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs.","Priority Assessment Chemical Substances (PACSs)|","O"
"9005-64-5","7-110","Sorbitan, monododecanoate, poly(oxy-1,2-ethanediyl) derivs.","Priority Assessment Chemical Substances (PACSs)|","O"
"9014-91-9","7-155","Sodium alpha-sulfonato-omega-(undecyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9016-45-9","7-172","Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|","O"
"9016-45-9","3-589","Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-","Priority Assessment Chemical Substances (PACSs)|","O"
"9016-87-9","7-872","Polymethylenepolyphenylene isocyanate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"9033-74-3","7-97","alpha-sec-Dodecyl-omega-hydroxypoly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9033-76-5","7-97","alpha-Hydro-omega-(sec-tetradecyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9033-79-8","6-901","Polymer of acrylic acid / sodium acrylate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"9040-05-5","7-97","alpha-Hydro-omega-(octadecenyloxy)poly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"9043-30-5","7-97","Poly(oxy-1,2-ethanediyl), .alpha.-isotridecyl-.omega.-hydroxy-","Priority Assessment Chemical Substances (PACSs)|","O"
"9062-73-1","8-55","Poly(oxyethylene) derivatives of sorbitan dodecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"9062-73-1","7-110","Poly(oxyethylene) derivatives of sorbitan dodecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"10017-56-8","","2,2',2''-Nitrilotriethanol phosphate (1:?)","Priority Assessment Chemical Substances (PACSs)||","O"
"10034-93-2","","Hydrazine-1,2-diium sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"10039-54-0","","Hydroxylamine, sulfate(2:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"10039-55-1","","Hydrazine monohydriodide","Priority Assessment Chemical Substances (PACSs)||","O"
"10042-84-9","2-1277","Sodium salt of nitrilotriacetic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10061-01-5","2-125","(Z)-1,3-Dichloroprop-1-ene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"10061-02-6","2-125","(E)-1,3-Dichloroprop-1-ene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"10101-97-0","","Nickel(II) sulfate hexahydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"10108-91-5","","N,N-Dimethyl-N-tetradecyl-1-tetradecanaminium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"10124-65-9","9-1677","Potassium dodecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"10124-65-9","2-611","Potassium dodecanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10138-93-9","","Triethylamine phosphate (1:?)","Priority Assessment Chemical Substances (PACSs)||","O"
"10202-77-4","2-217","4-tert-Butylheptan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10202-77-4","2-3704","4-tert-Butylheptan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10203-28-8","2-217","Dodecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10203-28-8","2-3704","Dodecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10203-30-2","2-217","Dodecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10203-30-2","2-3704","Dodecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10203-32-4","2-217","Dodecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10203-32-4","2-3704","Dodecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10203-33-5","2-3704","Dodecan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10203-33-5","2-217","Dodecan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10217-52-4","","Hydrazine monohydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"10222-01-2","2-2795","2,2-Dibromo-2-cyanoacetamide","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10289-68-6","2-3704","Tridecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10289-68-6","2-217","Tridecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10378-14-0","","N-Ethyl-N-methyl-N-octadecyloctadecan-1-aminium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"10424-65-4","","N,N,N-Trimethylmethanaminium hydroxide pentahydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"10443-46-6","","Pentachlorophenyl oleate","Class I specified chemical substance","O"
"10460-00-1","","(Z)-Octadec-9-enylamine acetate","Priority Assessment Chemical Substances (PACSs)||","O"
"10461-98-0","4-1952","Benzeneacetonitrile, .alpha.-cyclohexylidene-","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|","O"
"10522-26-6","2-217","2-Methylundecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"10522-26-6","2-3704","2-Methylundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"10581-12-1","","N,N,N-Trimethylmethanaminium acetate","Priority Assessment Chemical Substances (PACSs)||","O"
"11066-21-0","2-1639","Sodium tetradecenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"11066-21-0","2-2807","Sodium tetradecenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"11066-21-0","9-2038","Sodium tetradecenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"11067-19-9","2-1639","Sodium hexadecenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"11067-19-9","2-2807","Sodium hexadecenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"11067-19-9","9-2038","Sodium hexadecenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"11097-69-1","","PCB 1254","Class I specified chemical substance","O"
"11104-28-2","","Aroclor 1221","Class I specified chemical substance|","O"
"11113-74-9","1-417","Nickel hydroxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"11118-57-3","1-284","Chromium oxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"11141-16-5","","Aroclor 1232","Class I specified chemical substance|","O"
"12054-48-7","1-417","Nickel dihydroxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12070-04-1","1-174","Silicon carbide (Si2C)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12071-27-1","1-174","Silicon carbide (SiC2)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12144-09-1","1-174","Silicon carbide (Si2C2)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12326-86-2","1-174","Silicon carbide (Si3C)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12327-32-1","1-174","Silicon carbide (Si2C3)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12385-08-9","3-543","Benzenediol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"12427-38-2","2-1841","[Ethylene(dithiocarbamato-kappa(2)S,S')(dithiocarbamato)]manganese","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"12672-29-6","","PCB 1248","Class I specified chemical substance|","O"
"12674-11-2","","Aroclor 1016","Class I specified chemical substance|","O"
"12789-03-6","","Chlordane","Class I specified chemical substance","O"
"13029-08-8","","2,2'-dichlorobiphenyl","Class I specified chemical substance","O"
"13029-09-9","4-18","2,2'-Dibromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"13040-18-1","9-1677","Potassium decanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"13040-18-1","2-611","Potassium decanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13049-35-9","4-16","1,1'-Biphenyl, 2,2'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13049-36-0","4-16","1,1'-Biphenyl, 2,3'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13049-37-1","4-16","1,1'-Biphenyl, 2,4'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13049-38-2","4-16","1,1'-Biphenyl, 3,3'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13049-39-3","4-16","1,1'-Biphenyl, 3,4'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13049-40-6","4-16","1,1'-Biphenyl, 4,4'-diethyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"13177-52-1","","Ammonium decyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"13255-48-6","","Hydrazine,acetate","Priority Assessment Chemical Substances (PACSs)||","O"
"13393-71-0","2-1679","Sodium pentadecyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13419-31-3","3-1949","Sodium 4-tetradecan-2-ylbenzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13419-31-3","3-1884","Sodium 4-tetradecan-2-ylbenzenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"13419-31-3","3-1906","Sodium 4-tetradecan-2-ylbenzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13419-61-9","2-1640","Sodium decane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13427-63-9","","2-Aminoethanol monosulfite","Priority Assessment Chemical Substances (PACSs)||","O"
"13429-27-1","9-1677","Potassium tetradecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"13429-27-1","2-611","Potassium tetradecanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13463-41-7","9-1110","Pyrithione zinc","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13463-41-7","5-3725","Pyrithione zinc","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13464-80-7","","Dihydrazine sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"13464-97-6","","Hydrazinium nitrate","Priority Assessment Chemical Substances (PACSs)||","O"
"13464-98-7","","Hydrazine dinitrate","Priority Assessment Chemical Substances (PACSs)||","O"
"13475-82-6","2-10","2,2,4,6,6-Pentamethylheptane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13502-12-0","2-4162","Potassium trihydrogen (1-hydroxyethane-1,1-diyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)|","O"
"13502-12-0","2-2936","Potassium trihydrogen (1-hydroxyethane-1,1-diyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)|","O"
"13502-13-1","2-1639","Sodium tetradec-1-ene-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"13502-13-1","2-2807","Sodium tetradec-1-ene-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13502-13-1","9-2038","Sodium tetradec-1-ene-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"13502-15-3","9-2038","Sodium 4-hydroxytetradecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"13502-15-3","2-1639","Sodium 4-hydroxytetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
